gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
ADAM7-AS1	1	myocarditis, response to clozapine	Clozapine-induced myocarditis in schizophrenia	http://www.ebi.ac.uk/efo/EFO_0009609, http://purl.obolibrary.org/obo/GO_0097338	32066683	GCST009817
ADAMTS14	1	bipolar disorder	Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	21254220	GCST000961
ADAMTS16	1	functional impairment measurement	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia	http://www.ebi.ac.uk/efo/EFO_0005412	24039173	GCST002188
ADAMTS18 - LINC02131	1	nicotine dependence symptom count	Nicotine dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0009262	29532581	GCST006301
ADAMTS19	3	bipolar disorder, schizophrenia, major depressive disorder; disease recurrence, bipolar disorder, schizophrenia, sex interaction measurement, major depressive disorder	Schizophrenia, bipolar disorder or major depressive disorder; Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction	http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004952, http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009	34099189	GCST012292; GCST012297
ADAMTS19-AS1	1	bipolar disorder, schizophrenia, major depressive disorder	Schizophrenia, bipolar disorder or major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009	34099189	GCST012297
ADAMTS2	2	attention deficit hyperactivity disorder; response to interferon, depressive symptom measurement	Attention deficit hyperactivity disorder (time to onset); Depression in response to interferon-based therapy in chronic hepatitis C	http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0007859, http://www.ebi.ac.uk/efo/EFO_0007006	18937294; 27723809	GCST000280; GCST003824
ADAMTS5	3	cognitive function measurement, major depressive disorder; executive function measurement, cognitive function measurement, major depressive disorder; information processing speed, cognitive function measurement, major depressive disorder	Cognitive function (executive function) x major depressive disorder interaction (2df); Cognitive function (global cognition) x major depressive disorder interaction (2df); Cognitive function (processing speed) x major depressive disorder interaction (2df)	http://www.ebi.ac.uk/efo/EFO_0004363, http://www.ebi.ac.uk/efo/EFO_0008354, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0008354, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0009332, http://www.ebi.ac.uk/efo/EFO_0008354, http://purl.obolibrary.org/obo/MONDO_0002009	34782712	GCST90096932; GCST90096938; GCST90096941
ADAMTS6	3	low density lipoprotein cholesterol measurement, response to selective serotonin reuptake inhibitor; mental or behavioural disorder; mood disorder, trait in response to bupropion, major depressive disorder	Bipolar disorder and schizophrenia; LDL levels x SSRI defined daily dose interaction in schizophrenia or bipolar disorder; Non-response to bupropion and depression	http://www.ebi.ac.uk/efo/EFO_0000677; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/OBA_2040033, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004611, http://www.ebi.ac.uk/efo/EFO_0005658	20889312; 27622933; 33824429	GCST000821; GCST003804; GCST012324
ADAMTS9-AS2	2	attention deficit hyperactivity disorder, type 2 diabetes mellitus; white matter integrity	Type 2 diabetes and Attention deficit hiperactivty disorder; White matter integrity (bipolar disorder risk interaction)	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0004641	23218918; 36738649	GCST001764; GCST90624667
ADAMTSL1	3	age at onset, alcohol dependence; major depressive disorder; nicotine dependence	Alcohol dependence (age at onset); Depression in smokers; Nicotine dependence	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003768; http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0007079	24962325; 28440896; 30219690	GCST002477; GCST004294; GCST006427
ADAMTSL3	5	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	25056061; 26198764; 28991256; 30285260	GCST002539; GCST003048; GCST004946; GCST007201
ADARB1	4	attention deficit hyperactivity disorder, type 2 diabetes mellitus, major depressive disorder; major depressive disorder	Depression; Major depressive disorder; Major depressive disorder (broad); Type 2 diabetes and Attention deficit hiperactivty disorder or Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009	34045744; 36738649; 37464041; 38177345	GCST90020227; GCST90319327; GCST90328131; GCST90624673
ADARB2 - LINC00700	3	lifestyle measurement, depressive symptom measurement; major depressive disorder	Depression; Depression severity  x hours spent watching television interaction	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007006	30718901; 34877740; 37464041	GCST007342; GCST90101750; GCST90319327
ADCK1	8	obsessive-compulsive disorder; trait in response to paliperidone, schizophrenia symptom severity measurement	Obsessive-compulsive disorder; Response to paliperidone in schizophrenia (CGI-S score); Response to paliperidone in schizophrenia (Multivariate); Response to paliperidone in schizophrenia (PANSS score); Response to paliperidone in schizophrenia (positive Marder score)	http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927; http://www.ebi.ac.uk/efo/EFO_0004242	27846195; 30456828	GCST004039; GCST004040; GCST004042; GCST004043; GCST007208
ADCK1 - FXNP1	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	31969693	GCST009979
ADCY1	2	bipolar disorder, schizophrenia, response to lithium ion; schizophrenia	Bipolar disorder lithium response (continuous) or schizophrenia; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/GO_0010226; http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 29121268	GCST003048; GCST005081
ADCY2	7	anxiety disorder, stress-related disorder; attention deficit hyperactivity disorder, bipolar disorder; bipolar I disorder; bipolar disorder; bipolar disorder, major depressive disorder	Anxiety and stress-related disorders; Bipolar I disorder; Bipolar disorder; Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder; Bipolar disorder or attention deficit hyperactivity disorder; Bipolar disorder vs major depressive disorder (ordinary least squares (OLS))	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985; http://www.ebi.ac.uk/efo/EFO_0006788, http://www.ebi.ac.uk/efo/EFO_0010098; http://www.ebi.ac.uk/efo/EFO_0009963	24618891; 27890468; 31116379; 33686288; 34002096	GCST002385; GCST004001; GCST004002; GCST008559; GCST012464; GCST012465; GCST90016607
ADCY3 - DNAJC27	1	depressive symptom measurement, response to antidepressant	Response to antidepressants (symptom improvement)	http://www.ebi.ac.uk/efo/EFO_0007006, http://purl.obolibrary.org/obo/GO_0036276	33589590	GCST011528
ADCY5	2	LDL cholesterol change measurement, response to antipsychotic drug; post-traumatic stress disorder symptom measurement	Antipsychotic-induced LDL-cholesterol change in schizophrenia (4-week); Post-traumatic stress disorder (re-experiencing symptoms)	http://www.ebi.ac.uk/efo/EFO_0007804, http://purl.obolibrary.org/obo/GO_0097332; http://www.ebi.ac.uk/efo/EFO_0008535	31358989; 38336841	GCST008490; GCST90454526
ADCY8	1	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	24677629	GCST002401
ADCY9 - SRL	1	longitudinal BMI measurement, trait in response to amisulpride	Weight gain in amisulpride-treated first-episode psychosis	http://www.ebi.ac.uk/efo/EFO_0005937, http://purl.obolibrary.org/obo/OBA_2040105	32126890	GCST010007
ADCYAP1R1	2	depressive symptom measurement; trait in response to aripiprazole, adverse effect	Movement related adverse drug reaction to aripiprazole in schizophrenia; Psychological distress	http://purl.obolibrary.org/obo/OBA_2040031, http://www.ebi.ac.uk/efo/EFO_0009658; http://www.ebi.ac.uk/efo/EFO_0007006	30705256; 37491364	GCST007297; GCST90319845
ADCYAP1R1 - NEUROD6	2	major depressive disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis); Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	21621269; 34446935	GCST001083; GCST90061435
ADD3	1	bipolar disorder	Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	28072414	GCST003962
ADD3-AS1	1	irritable bowel syndrome, major depressive disorder	Irritable bowel syndrome or bipolar disorder (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0000555, http://purl.obolibrary.org/obo/MONDO_0002009	36753304	GCST90271329
ADGRB1	1	response to antidepressant	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression)	http://purl.obolibrary.org/obo/GO_0036276	33106475	GCST012157
ADGRB2	1	substance-related disorder	Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494	41057643	GCST90704953
ADGRB3	3	response to antidepressant; schizophrenia	Response to antidepressants (non-treatment-resistant vs treatment-resistant depression); Schizophrenia	http://purl.obolibrary.org/obo/GO_0036276; http://purl.obolibrary.org/obo/MONDO_0005090	33106475; 35396580	GCST012157; GCST90128471
ADGRD1 - LINC01257	1	response to selective serotonin reuptake inhibitor	Response to serotonin reuptake inhibitors in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0005658	25897834	GCST002868
ADGRE1	1	bipolar II disorder	Bipolar II disorder	http://www.ebi.ac.uk/efo/EFO_0009964	31043756	GCST008116
ADGRE2	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	27777418	GCST005547
ADGRE3	3	attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder; trait in response to paliperidone, schizophrenia symptom severity measurement	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined); Response to paliperidone in schizophrenia (PANSS score); Response to paliperidone in schizophrenia (positive Marder score)	http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009	23453885; 27846195	GCST001877; GCST004040; GCST004042
ADGRF5	2	alcohol dependence	Alcohol dependence (codominant genetic model)	http://purl.obolibrary.org/obo/MONDO_0007079	36551763	GCST90245782
ADGRG6 - HIVEP2	11	endometriosis, major depressive disorder; major depressive disorder	Depression; Depression (broad); Endometriosis or depression (pleiotropy); Lifetime major depressive disorder (AutoComplete Impute and observed); Lifetime major depressive disorder (AutoComplete Impute); Major depressive disorder; Major depressive disorder (MTAG); Major depressive disorder (broad)	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0001065, http://purl.obolibrary.org/obo/MONDO_0002009	29662059; 30718901; 32959083; 33479212; 33859377; 34045744; 34924174; 37464041; 37985818; 38177345	GCST005902; GCST007342; GCST010859; GCST012090; GCST012355; GCST90020227; GCST90239706; GCST90319327; GCST90328131; GCST90449001; GCST90449002
ADGRL2	2	Drug-induced agranulocytosis; major depressive episode	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia; Major depressive episode treated with electroconvulsive therapy	http://purl.obolibrary.org/obo/HP_0012235; http://www.ebi.ac.uk/efo/EFO_0007634	27400856; 33483693	GCST003628; GCST012095
ADGRL2 - LINC01362	3	response to perphenazine; schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Early-onset schizophrenia; Externalizing behaviour (multivariate analysis); Response to antipsychotic treatment	http://purl.obolibrary.org/obo/GO_0097334; http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	20195266; 33907183; 34446935	GCST000618; GCST012368; GCST90061435
ADGRL3	7	short-term memory; social inhibition quality, attention deficit hyperactivity disorder, substance abuse; substance-related disorder	Externalizing behaviour (multivariate analysis); Response to antipsychotic treatment in schizophrenia (working memory); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0004335	21107309; 34446935; 41057643	GCST000883; GCST90061435; GCST90704949; GCST90704952; GCST90704953
ADGRL3-AS1	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
ADGRL4	3	depressive symptom measurement; major depressive disorder; substance-related disorder	Depression; Depressive symptoms (MTAG); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://www.ebi.ac.uk/efo/EFO_0007006	29292387; 37464041; 41057643	GCST005323; GCST90319327; GCST90704949
ADGRV1	8	obsessive-compulsive symptom measurement; response to olanzapine; schizophrenia	Obsessive-compulsive symptoms; Response to antipsychotic treatment; Schizophrenia	http://purl.obolibrary.org/obo/GO_0097333; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007802	20195266; 26198764; 28991256; 30285260; 35396580; 38548983; 39753749	GCST000618; GCST003048; GCST004946; GCST007201; GCST90128471; GCST90429008; GCST90503210
ADH1A - ADH1B	4	alcohol dependence; alcohol dependence measurement; alcohol dependence, major depressive disorder	Alcohol dependence; Major depression and alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079; http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007835	24166409; 29071344	GCST004711; GCST004712; GCST005022
ADH1B	25	alcohol dependence; alcohol dependence measurement; alcohol dependence, major depressive disorder; alcohol use disorder measurement, alcohol dependence; substance-related disorder	Alcohol dependence; Alcohol dependence (desire to cut drinking); Alcohol dependence (tolerance); Alcohol dependence symptom count; Alcohol use disorder; Alcohol use disorder (dependence and problematic use scores); Major depression and alcohol dependence; Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0007079; http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007835; http://www.ebi.ac.uk/efo/EFO_0009458, http://purl.obolibrary.org/obo/MONDO_0007079	23456092; 24166409; 29071344; 30336701; 30940813; 31090166; 31591379; 41057643	GCST001883; GCST004711; GCST004712; GCST005022; GCST006717; GCST008259; GCST008283; GCST008284; GCST008285; GCST008288; GCST008966; GCST90704951
ADH1B - ADH1C	11	alcohol dependence; alcohol dependence measurement; alcohol use disorder measurement, alcohol dependence; parental emotion expression measurmement, conduct disorder	Alcohol dependence; Alcohol use disorder; Conduct disorder (maternal expressed emotions interaction)	http://purl.obolibrary.org/obo/MONDO_0007079; http://www.ebi.ac.uk/efo/EFO_0007835; http://www.ebi.ac.uk/efo/EFO_0008342, http://www.ebi.ac.uk/efo/EFO_0004216; http://www.ebi.ac.uk/efo/EFO_0009458, http://purl.obolibrary.org/obo/MONDO_0007079	18846501; 22004471; 24166409; 28714907; 30940813	GCST000245; GCST001281; GCST004711; GCST004712; GCST004756; GCST008259
